Savings,Checkings,CreditCard,Pin
48125.4,16690.64,5108759635762041,4133
8764.38,10734.32,5048372618041376,5714
52477.47,49953.77,5108755344028856,2478
12195.57,4502.48,5048374116710635,5184
63941.92,40522.19,5108750546636416,3049
65889.02,74196.87,5048376822976152,7245
44158.03,45175.13,5048370707836797,7537
55783.46,79977.6,5048373185193426,4106
67450.4,56201.8,5048379016454051,4339
22368.53,75229.19,5048377618263128,2820
49617.02,24243.89,5048370397010265,4311
35430.73,93026.41,5108756500902173,5134
28519.51,1415.89,5048374686163280,7027
44657.91,19558.87,5048372433315419,8965
71788.61,65233.1,5048378487355995,3147
21364.71,22495.82,5048371925296335,1563
48934.78,35952.12,5048377975409181,4762
92862.21,29005.65,5048375643572497,9399
10256.23,68295.92,5108751412124396,5454
36746.45,60917.63,5048371081896381,4302
8212.88,77802.62,5108754835637978,4324
69668.23,55210.36,5048379004161189,9709
96139.43,33361.48,5108755160076039,8634
34829.92,22022.3,5048376941271212,9849
26894.21,26643.28,5048371649524996,5840
1557.98,13876.4,5108750087186706,1061
37429.86,41607.08,5048373575464627,8929
46755.17,3331.91,5108752628063683,8581
2963.86,29389.77,5108759110502144,8903
33353.37,53676.03,5108750102933421,8281
34124.33,17907.72,5108759500367470,1280
55223.81,67750.24,5048375756657275,6433
96183.38,94430.16,5048377327100058,3628
76155.55,91373.49,5108756309881834,6761
29729.91,86122.79,5048379553661472,8086
73005.17,82039.6,5108750187229380,9433
68688.62,33334.34,5048374215123102,1690
39152.61,45665.57,5048370002964245,7603
20921.32,48182.28,5108750463263640,6459
54642.59,47827.18,5048376998451345,2442
41639.67,76369.86,5048379295176383,5560
79284.29,69450.01,5108757927385232,8847
94540.82,36999.51,5048376868214914,2230
73250.79,61990.93,5108754833830773,6756
11526.04,985.83,5108751015336272,5993
4238.29,80762.15,5048376210766041,2673
56982.59,91014.28,5048379795199356,5323
9722.9,24039.0,5108756881460882,4426
26677.18,80460.13,5108752648273791,8640
83297.66,43229.3,5048373958564936,5836
687.16,26100.91,5048374959600117,6827
40387.42,44353.99,5048373539259402,5377
3652.29,47500.33,5048377374232671,3938
35185.25,29504.46,5108758023036505,6606
27506.08,96699.26,5108757443207803,7247
63094.21,10237.39,5108754072908793,4427
18913.8,70533.75,5108751457161154,4645
41861.24,59270.52,5108758320566188,3961
98833.42,21508.7,5048371245702103,6139
33202.8,65956.6,5048370061839023,2333
79980.66,98380.67,5108751261537045,8771
4371.29,5280.05,5108754709659983,1609
55511.83,59118.12,5108758236233261,4554
48916.39,31387.75,5108756039826505,8823
14574.34,78946.59,5108752642570325,4805
46637.9,78330.66,5048378527263670,8367
85827.29,47932.76,5048377057507597,7648
64571.71,7445.44,5108759136218329,9620
66154.19,88799.2,5108759286474730,2220
29852.37,57146.24,5048379520841579,5796
48007.65,97746.23,5108750682562434,1007
24351.79,60523.95,5108753162922268,1814
16428.8,3389.04,5108755537520099,9615
57590.53,57520.88,5048379356317900,1774
18776.51,14349.53,5048372270869452,8798
89661.48,84172.57,5048375727095738,8705
90127.74,2245.19,5048378630701848,5300
24249.56,91143.64,5108753570707186,3530
7459.65,11745.5,5048371612387652,2387
14546.37,62056.48,5048373507429631,3063
85364.1,72944.77,5108758145400936,4395
64402.22,90907.65,5048379345752423,2516
96557.79,11781.15,5048373799968981,7153
89418.34,78575.61,5048374667624722,5384
52474.96,44144.46,5048374397702335,7969
51103.22,24573.88,5048377592514421,7549
89840.63,4763.91,5108757803743827,7791
58359.91,96758.29,5108754899495891,4386
11936.38,12146.59,5108752667919217,2259
86317.67,1935.21,5048374333287318,3368
3901.98,78541.29,5108751535536559,3703
78895.87,55555.11,5048372238822320,8542
50145.68,42714.58,5048376846393467,4230
21202.57,54912.29,5108750723164406,4494
1239.51,10038.27,5048374419241676,5572
90372.69,2044.26,5048376906605354,4973
85919.74,33939.52,5048373446481511,8834
99689.43,65494.19,5048370562070136,6821
35315.82,20506.21,5048379038519675,1188
8138.68,42902.09,5048379485279534,9226
78281.83,11999.79,5108751703576056,9060
72165.98,10150.15,5108750083688705,2629
76552.88,72163.3,5108753591801877,3823
69868.15,68561.17,5108750353126576,8997
16395.98,81814.56,5108758149247853,9318
43669.26,46143.55,5108752782587725,1578
12931.16,95110.22,5048373736530316,3084
65695.48,56624.06,5108754812878470,8721
29045.29,46107.17,5048379270383467,8210
19317.55,39937.0,5108755768021221,9638
57660.96,36207.01,5108755975323956,1080
89839.83,43897.42,5048372249983525,8635
65653.58,92097.61,5108750671148054,7950
29007.65,68524.84,5048375240812536,7851
53011.46,67334.36,5048372987240443,5246
75153.53,64729.52,5108757751263976,2183
4222.47,60485.64,5108758506632705,3036
48132.7,32057.67,5048378302238285,3219
55070.38,20495.21,5108752383158116,1512
98715.58,35738.99,5048376126042750,6741
63457.02,4460.4,5048376609130858,9886
30841.62,24329.93,5108755340568525,5190
67273.6,13507.44,5048375599018156,4914
10230.38,37487.89,5048378526356673,4522
43795.92,84629.07,5048371873709123,1451
63965.87,47576.96,5048374696735176,4946
23080.29,7572.81,5048376030520792,7435
93372.44,33329.51,5048378014710803,8538
65495.57,96766.69,5048372569298264,1517
27673.42,17182.84,5048370066537317,1151
46827.71,92630.41,5108753542653146,4716
8487.58,4363.93,5048370468256060,3204
96856.04,41981.11,5048370949890933,8364
92716.25,66216.6,5108759347023369,9730
6345.78,29097.89,5108756655413620,5965
67917.41,1731.95,5048375986717188,5103
87721.88,59295.44,5108755326594586,4530
89548.67,11745.6,5108750599217643,7642
14353.35,49531.48,5108751664083217,3818
6942.46,98687.64,5048370644671158,1365
7013.49,44878.21,5048379804323385,9574
35245.79,88493.8,5048374533015022,8090
2144.16,18723.12,5048375682363253,3741
44961.61,82103.19,5108755618491418,9713
95953.68,87719.17,5048371675111148,5014
89209.11,89813.91,5108756154068966,3712
1653.81,29829.34,5108754101093567,1270
41470.48,87184.98,5108754393489754,4325
91972.47,25432.69,5048373550870640,2491
50900.61,75481.33,5108753981386208,7380
47009.52,3146.95,5108758472509887,1056
68118.16,44740.9,5048370272170770,7513
32279.88,71923.79,5048375343854229,6601
14366.24,99785.97,5048370391618253,6170
36490.42,68626.76,5108756681598774,4654
44469.2,19624.0,5048378512854905,1809
53024.06,68685.89,5048372491333064,9660
23709.54,94264.41,5048372769208972,3338
48207.73,61442.22,5108753686023262,9504
7959.32,59572.01,5048375162801665,5645
4528.76,96815.56,5048376400718828,1653
67503.52,32659.14,5108756397151975,6508
28270.77,95466.33,5048377156674504,3053
49179.3,27408.05,5048374599581099,2120
83924.69,19453.56,5108753397791140,3084
3897.03,56710.95,5108754405750904,8178
8070.51,65341.33,5108752552123339,6510
65021.9,41440.03,5108752441829112,9599
21454.14,29067.54,5048378107796040,8264
98987.33,57079.15,5048371323637304,2759
78117.77,94498.44,5048373361805140,3984
72400.41,27439.17,5108754699343390,5405
88250.53,7884.82,5048373195512854,6161
75654.35,80237.32,5048376921946650,2768
45729.21,78530.88,5108752534591595,8841
4422.08,91154.95,5108753719922415,4901
59534.63,26828.63,5048375169115572,3487
96097.74,57195.16,5048377800564572,8148
73714.45,71741.89,5108750751481599,5434
3282.41,21097.27,5108758225962300,1282
42639.51,91711.17,5108759870959088,4138
85052.36,14581.69,5108753097403632,3517
67789.9,75292.75,5048379924342257,8872
16137.4,87965.33,5048376540152227,3097
39315.72,61004.3,5048376687481553,6508
40839.79,37154.07,5108753302334689,4727
59603.23,24852.72,5048372013654153,7818
62445.35,26523.72,5048375890471971,5240
95583.98,67684.58,5048371615663992,5323
78452.82,88094.63,5048376234148028,9206
39456.85,58493.78,5108752868367760,3649
37896.62,29387.47,5048375462245282,3480
63063.49,63175.53,5048374145300945,7984
33964.87,33642.16,5048374269585248,6859
66184.15,49969.14,5108750688964121,3282
22361.83,79383.1,5108759812314871,4929
42131.75,29476.63,5108753442977090,8465
91202.5,38449.19,5048374198097950,5337
43311.72,96318.02,5108751206535229,5434
95410.73,71197.74,5048378296968848,3840
32615.82,67682.82,5048373166800916,4246
74922.04,8694.9,5108758301813179,7455
11699.44,27649.53,5048370673052478,9496
56227.33,68192.7,5048371691916389,7673
89030.83,90935.82,5048379748690121,1613
25570.46,84372.42,5108756692728568,5402
42954.7,5838.21,5108754673309250,5666
7728.69,89870.9,5108756569103267,9820
4870.23,33850.33,5108753494910916,8687
67324.54,1678.36,5108750235336443,5267
76256.79,46089.95,5048374124204233,2618
20690.81,9056.65,5048372266614136,5907
31701.38,68923.37,5108754943463994,7513
97074.09,65999.16,5048376636675438,7221
98117.43,91909.77,5108757480181473,5225
4304.67,48261.82,5048379954544244,9306
93196.51,13874.06,5108752687175857,6402
67662.58,98100.8,5048378084003667,3765
44162.41,96015.01,5108758692502969,8079
75688.88,4329.39,5048376352475286,8644
17570.2,49215.45,5048379043601815,1864
55259.6,69154.61,5108756154693086,6033
40563.6,67353.98,5108758452535670,8485
71518.06,97167.75,5108753025304951,3607
88308.0,31537.24,5048371209248820,8617
56248.6,25738.52,5108751598403713,8910
43726.79,13489.07,5048371080301482,7045
19537.58,46213.28,5048373310720507,9278
82781.01,41796.5,5108751283601910,8356
78846.21,84316.12,5108750493516959,7682
88330.85,46984.94,5048375734980880,3536
25215.63,50374.79,5108755872375869,6803
4767.73,75979.14,5108753977944028,3672
43624.89,40561.12,5048378954454784,9701
70775.73,77546.29,5108752012140717,5247
20189.78,6951.41,5108755691935265,1995
88243.48,56799.92,5048370565416617,1838
34522.22,53670.91,5048374586983662,4712
92546.27,80164.14,5108756313496082,8692
61835.21,57245.31,5108754309360271,5150
81200.57,36734.11,5048376672202675,8319
84436.47,39330.53,5048372677051761,5739
21516.56,66929.21,5048377256492310,3718
20336.7,25530.24,5108757216946546,5760
44426.31,57545.47,5048379870591162,1004
34776.15,77258.54,5108755630333986,6948
37432.56,26295.04,5048374894727892,8401
59798.19,60270.56,5048376338820324,3462
17172.24,32851.54,5048376716388902,5211
98538.58,5580.95,5048371166486967,6138
64334.66,45551.35,5048374065265326,4732
85565.72,16383.77,5108751483862627,3002
34262.8,36809.02,5048377054736702,2348
57449.27,12087.29,5108750671827715,9554
8639.23,23967.86,5108756580945860,8893
63340.6,50124.75,5108752366533731,6758
22322.6,34622.41,5108758477427523,1570
58624.31,81615.31,5048371345115719,1761
19361.2,28682.05,5048373809537750,1721
52527.3,73014.21,5048371282196219,2353
57196.18,42229.82,5048373997257443,3373
99425.66,24955.67,5048375755722385,9979
99015.09,96499.74,5048377084615025,9357
54384.73,33924.46,5048378609043248,7189
17138.06,67669.01,5108750095009387,3835
67289.81,1768.11,5108752967251139,8464
78233.74,26383.82,5108752417571383,9541
65756.7,43336.23,5048379741707906,5310
49723.27,20020.1,5108755599007019,9242
69974.82,89519.96,5048379161121992,5348
99768.65,50400.19,5048372847205156,3764
17267.29,87100.62,5048374313744247,6189
77382.95,47145.72,5048379253338942,1651
30123.11,65545.65,5108753240521561,6554
63142.66,74046.91,5108754141112799,2482
85025.45,28689.25,5048375647973881,8906
99155.29,48611.3,5048375501162944,2071
93989.85,47192.57,5048379148586077,4433
48468.68,29290.64,5108755877456995,2090
676.47,21845.2,5048376403207597,5760
21736.15,74364.34,5108750639449222,1372
85545.84,43426.79,5108756227688402,8557
15931.86,13439.08,5048378035231953,7650
37315.16,68476.63,5048371824944662,6124
91138.58,24273.08,5108759362954613,9488
82974.57,45510.93,5048371102327523,6934
46315.55,16005.15,5048376876004299,8363
18575.91,23657.87,5108756717525619,4643
21234.4,56299.64,5048377184340821,8136
29621.18,7711.69,5108759282171181,6412
42556.62,53500.15,5048370643675341,7203
53024.89,63128.38,5108752997573684,7504
43871.54,15351.56,5048378993089328,2050
85.06,97193.79,5108754683541843,9487
1555.72,14124.41,5108756680211254,3750
68026.83,46761.53,5048374322533078,7476
11819.25,43017.96,5108751865201121,7837
15043.62,84453.77,5048370899661037,1138
96542.65,64623.43,5108753470067236,5836
4353.22,53327.59,5108752927900403,2093
1915.69,37855.89,5048378651314083,3140
30511.92,35450.62,5108757835206264,8846
80773.7,75924.33,5048371848637730,1422
37290.99,93909.33,5048373132042940,3971
57639.68,5435.26,5108751344874662,7967
84468.38,74716.57,5108753947972158,7813
1881.96,28737.18,5048374988700847,9122
53333.93,98325.54,5048377305311685,3951
91840.57,21797.98,5108752704728522,9147
94115.89,41228.22,5108750643426919,1034
7935.99,72670.9,5108752103298788,4827
19666.28,75187.45,5108753813598574,7268
20206.97,36684.42,5048377679277892,4481
1669.53,65675.5,5048379658829248,1512
94267.94,97564.09,5108752136182520,9120
90328.78,27622.63,5048371786034189,3665
57296.13,50053.0,5048377166404983,6297
89081.62,69629.79,5048377375817181,5420
741.92,13909.41,5108750473839066,7839
39041.57,43924.78,5048376230520238,2487
212.37,43082.01,5048376825631424,8593
48152.21,42007.72,5048373869621239,4549
59304.47,75094.41,5108750018005363,1873
18223.16,11751.11,5048376078655971,1121
90990.36,78992.35,5048376724040388,2422
91468.9,59032.02,5108750757315361,3818
1847.98,18042.39,5108750600174924,4919
19268.79,31358.73,5048377433861908,1089
57501.47,44030.34,5108756985188546,6174
90320.2,22650.38,5108755537926098,6321
49596.95,60193.2,5108755408088747,3845
24467.39,32330.26,5108757719583440,4979
10745.83,38493.84,5108755809183659,7876
6168.04,53032.37,5108759586651268,7403
52875.28,41795.41,5108751751332766,9962
3665.79,37136.86,5048375720108132,3008
50843.84,98919.89,5048376692970400,8082
13260.05,58400.82,5108759328340048,4291
92311.34,59897.65,5048375200570819,7457
76981.29,36487.43,5048370613937986,4122
60627.92,79345.07,5108755109651884,2445
62752.22,8892.51,5048379466745594,8777
7364.11,74729.52,5108755624196803,4555
17858.52,66048.91,5108759037541134,7497
55706.85,21904.92,5048372610515179,4342
54520.57,65700.32,5108754092388075,4658
76775.44,31137.03,5108750278892823,2723
86127.16,97923.79,5108752355085594,6738
93757.51,70923.6,5108753525866814,9535
41039.96,38557.12,5108752043464557,9655
65825.52,83332.11,5048371825762451,6629
84694.52,41052.35,5048371763609888,1752
23004.58,56025.67,5048377358509193,2720
82530.89,82640.62,5048372804191977,5493
99277.11,46215.9,5108759476930061,1034
46608.35,42658.05,5048373063522134,2636
14452.83,62545.75,5048373071026755,8059
11678.77,84731.43,5048378092442352,1232
81823.3,60735.37,5108755327874763,6098
54828.16,48484.88,5108751063084808,7078
44389.25,81371.94,5108758587720148,2236
12513.38,85558.43,5048375641945356,3507
60468.04,58499.31,5108755548048908,7759
80235.16,71407.71,5108750452961782,5068
4482.5,32276.64,5108751441074810,6852
31077.08,81930.63,5108759674201984,2117
42468.21,45103.55,5108751554940096,5718
15647.69,46863.91,5108757460812972,6240
95475.92,84999.15,5108758732851913,2494
73469.29,7914.13,5048375355647206,9008
37987.7,14616.11,5048377716140988,7298
85869.88,9384.87,5048379090592339,5845
82738.48,895.57,5108752155273028,3348
74666.54,35417.67,5048375906234645,6846
